Date,Austria_GDP,Belgium_GDP,Bulgaria_GDP,Croatia_GDP,Cyprus_GDP,Czechia_GDP,Denmark_GDP,Estonia_GDP,Finland_GDP,France_GDP,Germany_GDP,Hungary_GDP,Ireland_GDP,Italy_GDP,Latvia_GDP,Lithuania_GDP,Luxembourg_GDP,Malta_GDP,Netherlands_GDP,Poland_GDP,Portugal_GDP,Romania_GDP,Slovakia_GDP,Slovenia_GDP,Spain_GDP,Sweden_GDP,Austria_INFLA,Belgium_INFLA,Bulgaria_INFLA,Croatia_INFLA,Cyprus_INFLA,Czechia_INFLA,Denmark_INFLA,Estonia_INFLA,Finland_INFLA,France_INFLA,Germany_INFLA,Hungary_INFLA,Ireland_INFLA,Italy_INFLA,Latvia_INFLA,Lithuania_INFLA,Luxembourg_INFLA,Malta_INFLA,Netherlands_INFLA,Poland_INFLA,Portugal_INFLA,Romania_INFLA,Slovakia_INFLA,Slovenia_INFLA,Spain_INFLA,Sweden_INFLA,Austria_UNEMP,Belgium_UNEMP,Bulgaria_UNEMP,Croatia_UNEMP,Cyprus_UNEMP,Czechia_UNEMP,Denmark_UNEMP,Estonia_UNEMP,Finland_UNEMP,France_UNEMP,Germany_UNEMP,Hungary_UNEMP,Ireland_UNEMP,Italy_UNEMP,Latvia_UNEMP,Lithuania_UNEMP,Luxembourg_UNEMP,Malta_UNEMP,Netherlands_UNEMP,Poland_UNEMP,Portugal_UNEMP,Romania_UNEMP,Slovakia_UNEMP,Slovenia_UNEMP,Spain_UNEMP,Sweden_UNEMP,FCI_house_BE,FCI_corpo_BE,FCI_gov_BE,FCI_total_BE,FCI_house_FR,FCI_corpo_FR,FCI_gov_FR,FCI_total_FR,FCI_house_GE,FCI_corpo_GE,FCI_gov_GE,FCI_total_GE,FCI_house_IT,FCI_corpo_IT,FCI_gov_IT,FCI_total_IT,FCI_house_LU,FCI_corpo_LU,FCI_gov_LU,FCI_total_LU,FCI_house_NT,FCI_corpo_NT,FCI_gov_NT,FCI_total_NT,FCI_house_SP,FCI_corpo_SP,FCI_gov_SP,FCI_total_SP,FCI_house_EU,FCI_corpo_EU,FCI_gov_EU,FCI_total_EU,GDP,Infla,EPU_world,FCI_house,FCI_corpo,FCI_total
2010,-0.0767228258017111,-0.0782393201344525,-0.207157143506523,-0.10841127271229,-0.0373555117000282,-0.072473411629016,-0.045140239504224,-0.0652522899682081,-0.0635185425904261,-0.0371184641556652,-0.0167742744006764,-0.148071956341096,0.0462904545567251,-0.0504722230132461,-0.196259943247895,-0.0901050845245088,0.00306564267880294,0.00696572861521316,-0.0263202506756709,-0.132036125745383,-0.0116781653773144,-0.411597477569746,-0.0540510072810706,-0.0396692931723789,-0.0737357601355614,-0.0630230572160546,75.05,90.11,107.18,112.07,114.37,95.2,89.11,62.84,92.75,96.66,83,94.69,111.53,116.8,78.52,82.75,80.09,91.5,111.67,104.6,107.74,123.93,97.83,117.41,134.08,72.44,5.4,8.6,10.5,10.3,6.8,7.8,7.8,18.6,8.9,9.4,7.1,10.8,14.1,8.5,21,17.6,5,7.1,6.1,10.4,12.1,9.2,14.6,6.9,19.3,9.1,2.663399935,-0.323399991,0.577300012,-0.151600003,-0.532800019,-0.4833,-1.310799956,-0.483500004,0.758099973,-0.572600007,-0.694800019,-0.436500013,-1.486999989,-0.993300021,0.020099999,-1.052899957,-0.91170001,-1.923900008,-1.979200006,-1.92019999,-2.011600018,-1.638800025,-0.186399996,-1.672199965,-0.909300029,-0.270200014,-0.117399998,0.75849998,-1.377799988,-1.175600052,-0.305599988,-1.220600009,3.09,2.4,110.5996318,-1.377799988,-1.175600052,-1.220600009
2010.25,0.0560150204972616,0.0511359342558115,0.172961428755716,0.115470372809298,0.05339971689364,0.089276746855421,0.0429533625476579,0.102438038793104,0.0653951443957483,0.0240707617335438,0.0212102857713825,0.11065065983371,-0.00131658288810887,0.0512368362391964,0.129702511864799,0.107151823822675,0.022223622576512,0.0460016602102933,0.0467537731184,0.016969999346333,0.0238130274608819,0.216238767938774,0.0864978163489916,0.083761098311844,0.0500935660505069,0.0895884559795015,77.21,90.83,106.52,110.49,112.79,95.4,90.99,63.42,93.56,98.6,84.3,94.21,107.73,117.9,78.8,84.57,78.99,91.16,111.54,105.87,108.16,121.99,97.23,118.08,136.26,73.33,5.3,8.4,11.1,12,6.6,7.3,7.7,17.8,8.6,9.3,6.6,10.9,14.3,8.7,20,17.9,4.2,6.6,6.1,10,12.6,9,14.5,7.2,19.9,8.7,2.336899996,-0.416200012,1.000699997,-0.257200003,-0.995000005,-0.633400023,-0.667699993,-0.646300018,0.374900013,-0.656599998,-0.321799994,-0.552900016,-1.793400049,-1.002099991,0.394800007,-1.094900012,-1.396199942,-2.025700092,-2.266799927,-2.026499987,-2.073600054,-1.692499995,0.066500001,-1.734500051,-1.363800049,0.269600004,-3e-04,1.220600009,-1.518599987,-0.790000021,0.084600002,-0.870599985,5.44,2.08,128.11202,-1.518599987,-0.790000021,-0.870599985
2010.5,0.0152742317512073,-0.0503188951143368,0.104919715521666,0.144696232160242,0.0148278578379131,0.0120495813792667,0.00160596425165282,-0.0180524161524834,-0.0246479892683774,-0.015641841028047,0.0247206860845228,0.0322089093118638,-0.0060774485789844,-0.00128132821423821,0.014293765049439,0.0672368271862902,-0.0441282235693004,0.0585940083327823,-0.0317400264085528,0.00761473257269096,0.00868940301330134,0.12217783728556,0.0648041809148978,-0.0102436598707111,-0.0274148596369883,-0.0809456292824726,78.19,92.8,105.38,109.52,112.39,95.1,91.73,65.82,94.62,101.26,84.3,93.75,104.59,118.8,80.83,83.94,80.2,94.04,111.68,106.02,107.32,117.48,96.53,116.53,134.01,74.44,5.1,8.6,11.4,12.3,6,7.1,7.6,15.8,8.4,9.2,6.3,10.8,14.6,8.5,19.4,18.1,3.7,6.6,6,9.8,12.9,9,14.3,7.3,20,8.7,1.764299989,-0.574500024,1.271700025,-0.444999993,-0.98299998,-0.5898,-0.168300003,-0.603900015,0.29519999,-0.336199999,-0.156900004,-0.258399993,-1.766499996,-0.703000009,0.649699986,-0.814999998,-1.507500052,-1.902699947,-2.254499912,-1.904199958,-1.804499984,-1.370300055,0.311199993,-1.417400002,-1.23300004,0.852199972,-0.282400012,1.784600019,-1.576699972,-0.513400018,0.264099985,-0.614000022,4.09,0.34,131.8102028,-1.576699972,-0.513400018,-0.614000022
2010.75,0.0455332512259301,0.113168375778852,0.0196969696969698,-0.126170549649401,-0.00308205104789738,0.0229635414124654,0.0227919796462321,0.0533486795035307,0.0856602186711524,0.0491662809737794,0.019387412883757,0.0445730106097746,0.0272279197593417,0.0275057577185016,0.0779371653702394,-0.0333899951432735,0.0402536679744183,-0.0661585556319111,0.0337210677645827,0.163425299716329,-0.00911202161886504,0.14984370737287,-0.0289516099712787,-0.0116308279742766,0.0542938629788456,0.15172695138923,78.84,92.65,104.15,109.8,112.05,95.2,90.78,63.51,94.6,102.45,83.8,91.99,99.98,118.9,83.25,85.55,81.28,87.45,111.02,105.95,106.21,114.77,96.63,116.8,133.86,75.65,4.9,7.9,12.5,12.2,5.8,7,7.8,13.7,8.4,9.2,6.3,10.7,15.4,8.5,18.3,17.5,4.5,7.1,6,9.8,12.9,8.8,13.8,7.7,20.2,8.3,1.180899978,-0.551599979,1.483700037,-0.460900009,-0.683600008,-0.473100007,0.149100006,-0.479299992,0.31310001,-0.157100007,-0.116599999,-0.091499999,-1.447700024,-0.467099994,0.693499982,-0.567099988,-1.33829999,-1.46389997,-1.832800031,-1.470999956,-1.309999943,-0.716300011,0.519900024,-0.777700007,-0.827899992,1.153499961,-0.717299998,2.144200087,-1.421399951,-0.340200007,0.413800001,-0.433699995,3.84,4.04,126.8447726,-1.421399951,-0.340200007,-0.433699995
2011,-0.059652142666713,-0.0743980174053368,-0.23875012201603,-0.107879478152827,-0.0455492706162548,-0.083340622523332,-0.0368705302278751,-0.0367373456972416,-0.0790632711232225,-0.021468414438054,-0.00929313122503672,-0.139151950619241,-0.0154481832502646,-0.0496761881543701,-0.185628602221077,-0.0688669765104887,-0.00594131018805544,-0.0256890553920256,-0.0139509700092284,-0.130270780158827,-0.0171655196076453,-0.341587936825556,-0.0890949480830672,-0.0350870504511375,-0.0667705658979058,-0.0655879748467152,78.96,93.51,102.03,108.81,111.56,95.4,89.9,67.03,95.84,103.13,86.1,91.73,95.45,118.3,86.98,89.2,80.93,88.65,111.18,105.88,105.45,110.14,96.78,122.24,129.31,76.32,5.2,7.1,12.3,13.1,6.9,6.9,8.1,13.7,8.4,9.2,5.9,10.7,15.3,8.1,17.3,16.6,5.3,6.6,5.9,9.7,12.9,9,13.6,8.1,20.6,8,0.917500019,-0.240500003,1.698400021,-0.181400001,-0.494100004,-0.292299986,0.537899971,-0.296799988,0.410899997,-0.029200001,0.292899996,0.035300002,-1.243899941,-0.27579999,0.898800015,-0.370400012,-1.089599967,-1.008000016,-1.121000051,-1.019000053,-1.127699971,-0.292800009,0.998300016,-0.364600003,-0.390300006,1.113199949,-0.847599983,2.180599928,-1.106600046,-0.0297,0.917699993,-0.113600001,6.41,4.26,110.4977283,-1.106600046,-0.0297,-0.113600001
2011.25,0.0402651471961393,0.0468427384104229,0.222687638912634,0.132066712317638,0.0549210614712796,0.0795682259151198,0.0357569060773479,0.088325464467472,0.041379156780615,0.0155457033935875,0.00425391883043114,0.0939307614805116,0.0436539994963907,0.0415172909248278,0.151816795650047,0.0989848571717649,0.00423054934774703,0.0255424333974181,0.0395434179144787,0.0330006677328092,0.0131991005513745,0.221009946641543,0.0799230020962063,0.051614007823098,0.0459715750505085,0.0542143454368134,81.28,94.16,100.23,110.53,113.99,95.9,91.94,68.98,97.55,105.14,87.1,90.97,90.5,120.7,88.51,89.88,82.88,90.79,109.59,106.57,103.18,108.11,95.35,121.89,127.76,76.34,4.8,6.9,12.2,14.1,7.4,6.9,7.5,12.7,7.9,9.1,5.5,10.6,15.1,8.1,16.8,15.6,5.4,6.5,5.9,9.9,13.1,9.1,13.3,7.9,20.8,7.9,1.243899941,0.482899994,1.501000047,0.530700028,-0.388000011,-0.169100001,0.762000024,-0.174899995,0.642499983,0.188099995,0.644500017,0.259900004,-0.75029999,-0.170300007,0.826600015,-0.227400005,-0.591000021,-0.387300014,-0.399500012,-0.4005,-0.482899994,0.263000011,1.205800056,0.216199994,0.174400002,0.807699978,-0.939300001,1.971199989,-0.581799984,0.388099998,1.29369998,0.326700002,0.95,2.24,107.4140461,-0.581799984,0.388099998,0.326700002
2011.5,0.00138343726393431,-0.052368427626719,0.079272413712741,0.141911010867336,-0.0122819387267723,-0.000546410032516764,-0.021716866240431,-0.0117468097692893,-0.018224625457932,-0.0202498930360209,0.0193330079811096,0.0297391686497455,-0.0290959081758572,-0.00958335471430083,0.0319212708562293,0.085757687350396,-0.0198422556204199,0.0401713979646492,-0.0372073523041065,0.017927356468433,-0.00192037779252829,0.17580733481727,0.0704557708776048,-0.00494689910830581,-0.0286035678597546,-0.0860378397630436,82.59,96.05,99.54,111.31,111.22,95.3,88.9,70.29,97.31,107.28,86.7,89.75,85.12,120.3,91.36,89.67,82.87,91.03,109.17,105.41,101.49,102.31,95.84,119.01,123.2,76.16,4.3,7.7,12.1,14,8,6.6,7.6,11.1,7.8,9.2,5.4,10.7,15.6,8.6,15.7,15.3,4.2,5.9,6,10,13.6,9.1,13.3,8.1,21.7,7.8,1.067299962,0.783200026,1.043400049,0.805800021,-0.01,0.463400006,0.626100004,0.449000001,0.906799972,0.83890003,0.5722,0.896499991,-0.227500007,0.503899992,1.030599952,0.449400008,-0.225600004,0.061900001,0.113399997,0.049600001,0.225799993,0.749100029,1.029500008,0.719099998,0.742200017,1.27670002,-1.157199979,2.45539999,-0.299400002,1.000800014,1.262099981,0.922299981,0.65,1.38,187.2601568,-0.299400002,1.000800014,0.922299981
2011.75,0.0370867255171108,0.106278064622225,-0.00726617073881741,-0.137383060099478,-0.00412185967255385,0.0137588371183088,0.0347293737447301,0.00934952397240751,0.0569834213767686,0.046666973899534,0.00724571344649916,0.0543418053701634,0.0209466910337186,0.00440310363314,0.0619402623807912,-0.0465934625005301,0.0166323459527957,-0.0379763130792997,0.019546559028552,0.15159898250461,-0.0200377707155114,0.0738273299927119,-0.0405861856452072,-0.00875989578744674,0.0390094663562799,0.104330179282869,83.06,95.79,98.1,111.99,107.6,94.4,85.73,70.98,96.76,106.28,87.3,89.34,80.38,119.5,88.05,90.31,85.67,88.73,107.15,104.92,98.25,98.75,94.42,118.4,116.8,74.67,5.2,7.2,12.6,13.7,9.4,6.5,7.9,11.4,7.8,9.4,5.2,10.6,15.7,9.4,15.5,14.1,4.7,6.5,6.3,10.2,14.6,9.2,13.8,8.6,22.6,7.9,0.059300002,0.408499986,0.494300008,0.386099994,0.902400017,1.116299987,0.173199996,1.114899993,1.103399992,1.127400041,0.142000005,1.181800008,0.519500017,1.261999965,0.919799984,1.22329998,0.0099,0.419999987,0.154799998,0.407200009,0.67839998,0.834100008,0.401300013,0.849600017,1.129099965,1.738299966,-1.587599993,2.933300018,-0.183899999,1.241700053,0.958299994,1.156999946,-1.25,3.15,182.2395772,-0.183899999,1.241700053,1.156999946
2012,-0.0535729821703889,-0.0831116810022015,-0.233371035802845,-0.130120732722731,-0.0536903440621532,-0.0753576753481584,-0.0447039804688144,-0.0570177915842982,-0.0822040747176567,-0.0275425679710536,-0.0130117432294903,-0.160190851035427,-0.0360136509079477,-0.0559914077820278,-0.131128484489321,-0.0836742558994427,0.000270073750908928,-0.00843034925732633,-0.0286027195495802,-0.149084735174027,-0.0209551833643301,-0.322836463995044,-0.0678060320068189,-0.0445420724507029,-0.0707556934999835,-0.0589324891375178,85.3,96.51,98.23,111.36,106.4,93.9,85.74,71.91,98.39,104.87,88,90.21,76.76,119,89.22,89.99,84.6,90.5,105.19,103.5,96.84,101.74,93.74,113.6,110.97,75.55,4.9,7.3,13,15.1,10.4,6.8,7.9,10.8,7.7,9.5,5.2,10.9,15.9,10.3,16,13.9,6,6.3,6.5,10.2,15.4,8.9,13.8,8.2,23.6,7.9,-0.357800007,-0.081100002,-0.054699998,-0.110299997,1.784999967,1.299600005,-0.476099998,1.327499986,1.293499947,1.078600049,-0.407099992,1.150500059,1.58829999,1.829399943,0.177900001,1.848899961,0.066799998,0.548500001,-0.158199996,0.532400012,0.608200014,0.658500016,-0.0634,0.695299983,1.486899972,2.158299923,-2.226300001,3.39560008,-0.201299995,0.910899997,0.461100012,0.842800021,1.79,3.93,146.2625457,-0.201299995,0.910899997,0.842800021
2012.25,0.0159303771239123,0.0429706305684163,0.205986664775145,0.124650027519204,0.0351365879880761,0.0536752723218115,0.0269129449596026,0.0945763828576562,0.0297591578632277,0.00179454544385949,-0.00911040923716011,0.0846874471216217,0.00490265700864279,0.0307957958044323,0.122875131164743,0.0818356815865673,0.0100004153858935,0.0632928475033738,0.0456010647193266,0.0188616578680558,0.00236525456912151,0.195039383832251,0.0723471923140633,0.0306847931533976,0.0333285148211766,0.0475785438318008,85.44,96.72,98.67,109.86,106.02,94,86.99,74.27,99.44,104.94,89.1,87.12,75,118.1,90.28,89.05,86.26,89.49,103.45,102.82,94.64,101.15,92.89,114.91,107.37,76.66,5.2,7.3,13.2,15.3,11.5,6.9,8.2,9.8,7.8,9.7,5.1,10.7,15.7,10.9,15.9,13.3,4.1,6.1,6.7,10.3,16.1,8.7,13.8,8.3,24.5,7.9,-0.088399999,-0.422800004,-0.470699996,-0.421499997,2.074800014,1.11559999,-0.939400017,1.162999988,1.095100045,0.708999991,-0.617200017,0.780799985,1.876700044,1.738000035,-0.290800005,1.784800053,-0.098200001,0.519999981,-0.570200026,0.501100004,0.56309998,0.362500012,-0.390899986,0.419099987,1.587599993,2.608599901,-2.694299936,3.865499973,-0.130899996,0.611299992,0.132100001,0.566200018,-0.09,1.03,158.8863014,-0.130899996,0.611299992,0.566200018
2012.5,0.00301418387114949,-0.0530746210566037,0.0940242324432419,0.148378654410826,-0.00110943253705975,-0.00479725622992111,-0.00762481643268453,-0.0109168513502421,-0.0250717633806911,-0.0166419500387318,0.014926883779856,0.0298242877199948,-0.0221741793302727,-0.00933714787602613,0.0284786468554341,0.118215257633302,-0.0206459042350836,0.0458814570376951,-0.0447158833051328,0.0126582433608253,0.00743270707849208,0.159170633926334,0.0631225130372457,-0.00549266355501699,-0.0253440749167844,-0.0927599377887562,88.71,97.77,98.57,109.09,110.14,93.8,87.26,76.17,99.36,105.61,90.4,86.39,75.89,115.9,92.54,89.94,86.49,96.03,99.39,101.41,93.7,97.44,93.51,111.9,103.36,77.56,5.4,7.7,13.4,16.1,12.3,7,7.8,9.8,8,9.7,5,10.5,15.6,10.8,14.1,13.1,5.5,6.3,6.9,10.5,17.2,8.8,13.9,9.5,25.2,8.2,-0.020400001,-0.595099986,-0.488299996,-0.578599989,1.581799984,0.664300025,-0.931699991,0.708899975,0.768400013,0.198799998,-0.5546,0.267199993,1.551499963,1.31099999,-0.541499972,1.358100057,-0.142299995,-0.027899999,-0.312299997,-0.029999999,0.441900015,0.0232,-0.497299999,0.083300002,1.479200006,2.691999912,-2.960299969,3.977900028,-0.1558,0.098800004,-0.137799993,0.077,2.46,2.34,144.9732087,-0.1558,0.098800004,0.077
2012.75,0.0347127531507976,0.102076415082518,-0.00074191155124026,-0.141926757640607,-0.0364865184204929,0.0181036927170808,0.0253527756074141,0.0211065006915629,0.055202315729318,0.0455254756521601,0.00650119987876341,0.0371222136535567,0.018463893959753,0.00930799231252766,0.0471798832428503,-0.0541827128797604,0.0525978729882102,-0.0419877434621685,0.023106265661363,0.137911629770101,-0.0170272635335172,0.0819808460175928,-0.0409333953272114,-0.0147020691801067,0.0326519429609433,0.117546736717646,88,97.43,96.82,105.4,108.22,93.7,86.85,75.13,99.63,104.1,91.6,84.67,76.5,113.6,93.41,89.25,88.96,94.13,99.79,100.29,94.31,97.71,91.63,107.95,101.91,77.53,5.3,8.3,13.5,17.8,13.4,7.2,7.3,9.2,7.9,10.2,5,10.6,15,11.5,14.4,13.2,5,6.1,7.3,10.6,17.7,8.7,14.2,9.6,25.9,8.3,-0.104599997,-0.752099991,-0.564599991,-0.726999998,1.011899948,0.120800003,-0.88349998,0.161400005,0.594399989,-0.230700001,-0.554400027,-0.154200003,1.187700033,0.828000009,-0.657199979,0.874300003,-0.338099986,-0.202399999,-0.534200013,-0.2016,0.293199986,-0.251899987,-0.728999972,-0.191799998,1.533100009,2.752300024,-3.378200054,4.080800056,-0.189099997,-0.31099999,-0.359600008,-0.316599995,-0.99,1.59,167.1421714,-0.189099997,-0.31099999,-0.316599995
2013,-0.0638847995426284,-0.0869525667790073,-0.265640131706372,-0.108385606166935,-0.0738724155691267,-0.078405852989695,-0.0416150243017493,-0.0501991168423049,-0.0878704536570892,-0.0338728613229549,-0.0285896786628702,-0.139677340828114,-0.0240189018428769,-0.0599936602932896,-0.175639913232104,-0.0916416897585252,-0.0235086424432233,0.0240040534549368,-0.0331531870616522,-0.154792518808267,-0.0182177763917875,-0.362741643243423,-0.0847973239120818,-0.0393431406089634,-0.0655569091399651,-0.0624794152811929,89.06,97.87,96,105.28,104.54,93.6,88.02,77.45,100.26,102.83,91.3,84.95,74.32,110.5,93.52,89.86,89.16,91.37,97.07,97.7,92.45,100.99,93.72,108.72,96.75,78.69,5.8,8.6,13.9,16.8,15,7.1,7.7,9.5,8.5,10.4,5.1,10.6,14.5,12.2,12.8,12.3,5.6,5.9,7.7,10.9,18.2,8.8,14.3,10.6,26.3,8.3,0.0078,-0.608799994,-0.464899987,-0.57980001,0.460399985,-0.209000006,-0.584699988,-0.179800004,0.348800004,-0.533500016,-0.244000003,-0.4639,0.8046,0.348800004,-0.637199998,0.392699987,-0.424199998,-0.414000005,-0.46329999,-0.40959999,0.232800007,-0.337000012,-0.745400012,-0.276300013,1.386000037,2.506400108,-3.305500031,3.855200052,-0.151500002,-0.4296,-0.300399989,-0.423400015,0.54,1.99,144.8855111,-0.151500002,-0.4296,-0.423400015
